note,midi_number,pitch,octave,frequency_hz,dynamic,velocity_min,velocity_max,exists,aiff_path,wav_path,file_size_bytes,sample_rate,channels,bit_depth
D3,50,D,3,146.83,ff,96,127,True,ff/Piano.ff.D3.aiff,wav/ff/Piano.ff.D3.wav,7958274,44100,2,16
Eb3,51,Eb,3,155.56,pp,1,55,True,pp/Piano.pp.Eb3.aiff,wav/pp/Piano.pp.Eb3.wav,6464222,44100,2,16
Eb3,51,Eb,3,155.56,mf,56,95,True,mf/Piano.mf.Eb3.aiff,wav/mf/Piano.mf.Eb3.wav,7636430,44100,2,16
Eb3,51,Eb,3,155.56,ff,96,127,True,ff/Piano.ff.Eb3.aiff,wav/ff/Piano.ff.Eb3.wav,8512626,44100,2,16
E3,52,E,3,164.81,pp,1,55,True,pp/Piano.pp.E3.aiff,wav/pp/Piano.pp.E3.wav,6471390,44100,2,16
E3,52,E,3,164.81,mf,56,95,True,mf/Piano.mf.E3.aiff,wav/mf/Piano.mf.E3.wav,5947346,44100,2,16
E3,52,E,3,164.81,ff,96,127,True,ff/Piano.ff.E3.aiff,wav/ff/Piano.ff.E3.wav,8395238,44100,2,16
F3,53,F,3,174.61,pp,1,55,True,pp/Piano.pp.F3.aiff,wav/pp/Piano.pp.F3.wav,6244670,44100,2,16
F3,53,F,3,174.61,mf,56,95,True,mf/Piano.mf.F3.aiff,wav/mf/Piano.mf.F3.wav,5768802,44100,2,16
F3,53,F,3,174.61,ff,96,127,True,ff/Piano.ff.F3.aiff,wav/ff/Piano.ff.F3.wav,7951862,44100,2,16
Gb3,54,Gb,3,185.0,pp,1,55,True,pp/Piano.pp.Gb3.aiff,wav/pp/Piano.pp.Gb3.wav,6609406,44100,2,16
Gb3,54,Gb,3,185.0,mf,56,95,True,mf/Piano.mf.Gb3.aiff,wav/mf/Piano.mf.Gb3.wav,6725046,44100,2,16
Gb3,54,Gb,3,185.0,ff,96,127,True,ff/Piano.ff.Gb3.aiff,wav/ff/Piano.ff.Gb3.wav,8575530,44100,2,16
G3,55,G,3,196.0,pp,1,55,True,pp/Piano.pp.G3.aiff,wav/pp/Piano.pp.G3.wav,6330178,44100,2,16
G3,55,G,3,196.0,mf,56,95,True,mf/Piano.mf.G3.aiff,wav/mf/Piano.mf.G3.wav,6074234,44100,2,16
G3,55,G,3,196.0,ff,96,127,True,ff/Piano.ff.G3.aiff,wav/ff/Piano.ff.G3.wav,6665554,44100,2,16
